REG;Région;DEP;CODCOM;Commune;CODFRAC_CAN;FRAC_CAN;Fraction cantonale;PMUN;PCAP;PTOT
76;Occitanie;32;013;Auch;05;3201305;Auch-2;6202;355;6557
76;Occitanie;32;013;Auch;06;3201306;Auch-3;9755;163;9918
75;Nouvelle-Aquitaine;33;063;Bordeaux;02;3306302;Bordeaux-1;45731;473;46204
75;Nouvelle-Aquitaine;33;063;Bordeaux;03;3306303;Bordeaux-2;49492;1119;50611
75;Nouvelle-Aquitaine;33;063;Bordeaux;04;3306304;Bordeaux-3;48684;821;49505
75;Nouvelle-Aquitaine;33;063;Bordeaux;05;3306305;Bordeaux-4;63808;525;64333
75;Nouvelle-Aquitaine;33;063;Bordeaux;06;3306306;Bordeaux-5;54089;513;54602
75;Nouvelle-Aquitaine;33;281;Mérignac;18;3328118;Mérignac-1;41123;418;41541
75;Nouvelle-Aquitaine;33;281;Mérignac;19;3328119;Mérignac-2;34606;385;34991
75;Nouvelle-Aquitaine;33;318;Pessac;23;3331823;Pessac-1;33438;421;33859
75;Nouvelle-Aquitaine;33;318;Pessac;24;3331824;Pessac-2;33322;341;33663
75;Nouvelle-Aquitaine;33;039;Bègles;31;3303931;Talence;6636;49;6685
75;Nouvelle-Aquitaine;33;039;Bègles;33;3303933;Villenave-d'Ornon;24177;299;24476
76;Occitanie;34;032;Béziers;02;3403202;Béziers-1;19541;208;19749
76;Occitanie;34;032;Béziers;03;3403203;Béziers-2;38996;449;39445
76;Occitanie;34;032;Béziers;04;3403204;Béziers-3;21804;458;22262
76;Occitanie;34;172;Montpellier;15;3417215;Montpellier-1;46572;350;46922
76;Occitanie;34;172;Montpellier;16;3417216;Montpellier-2;55897;453;56350
76;Occitanie;34;172;Montpellier;17;3417217;Montpellier-3;53665;994;54659
76;Occitanie;34;172;Montpellier;18;3417218;Montpellier-4;67298;376;67674
76;Occitanie;34;172;Montpellier;19;3417219;Montpellier-5;53273;580;53853
76;Occitanie;34;172;Montpellier;20;3417220;Montpellier - Castelnau-le-Lez;25749;536;26285
53;Bretagne;35;115;Fougères;08;3511508;Fougères-1;6245;272;6517
53;Bretagne;35;115;Fougères;09;3511509;Fougères-2;14408;322;14730
53;Bretagne;35;238;Rennes;18;3523818;Rennes-1;41163;777;41940
53;Bretagne;35;238;Rennes;19;3523819;Rennes-2;43087;1119;44206
53;Bretagne;35;238;Rennes;20;3523820;Rennes-3;33683;335;34018
53;Bretagne;35;238;Rennes;21;3523821;Rennes-4;37019;599;37618
53;Bretagne;35;238;Rennes;22;3523822;Rennes-5;34472;745;35217
53;Bretagne;35;238;Rennes;23;3523823;Rennes-6;35657;522;36179
53;Bretagne;35;288;Saint-Malo;25;3528825;Saint-Malo-1;30831;944;31775
53;Bretagne;35;288;Saint-Malo;26;3528826;Saint-Malo-2;16492;342;16834
